296,"HORW, SCHLUNDTUNNEL (AB)",,LU,A 2,ADT,"62,854","64,852","65,118","70,189","71,273","74,963","79,601","80,468","74,569","70,939","64,056","64,156","70,290"
,,,,,AWT,"65,372","67,231","68,931","73,950","73,798","76,226","80,299","81,289","74,755","72,823","68,544","67,006","72,545"
,,,,,ADT Tu-Th,"64,457","66,377","68,471","73,223","72,790","74,905","78,684","80,049","72,907","71,795","68,235","66,157","71,599"
,,,,,ADT Sa,"63,048","65,471","62,684","70,727","71,156","77,254","83,405","83,018","78,497","72,227","61,812","64,990","71,073"
,,,,,ADT Su,"51,619","52,343","51,540","57,292","60,785","69,223","71,786","75,607","69,619","58,818","48,345","53,626","60,103"
297,BIRSFELDEN ZUBRINGER A2 - BL1101,,BL,A 2,ADT,"11,933","13,057","12,677","13,680","13,454","13,899","13,490","13,563","14,862","14,157","13,240","11,787","13,312"
,,,,,AWT,"14,241","15,480","15,351","16,892","16,256","17,039","15,943","16,859","17,327","16,502","16,195","14,258","16,020"
,,,,,ADT Tu-Th,"14,150","15,777","15,374","17,012","16,412","16,950","15,997","17,262","17,354","16,732","16,633","14,338","16,164"
,,,,,ADT Sa,"7,975","8,344","8,367","8,954","8,450","9,484","7,598","8,451","9,526","8,976","8,915","8,628","8,632"
,,,,,ADT Su,"4,947","5,657","5,759","6,123","6,692","6,374","5,279","6,838","6,643","5,855","5,746","5,244","5,949"
298,OTHMARSINGEN (AB),,AG,A 1,ADT,"77,379","82,664","85,772","81,454","86,256",,,,,,"85,331","78,086",
,,,,,AWT,"81,274","85,094","88,305","83,888","87,970",,,,,,"87,687","81,123",
,,,,,ADT Tu-Th,"81,468","85,133","88,516","84,054","87,718",,,,,,"87,451","80,138",
,,,,,ADT Sa,"76,516","84,058","87,612","81,960","86,881",,,,,,"89,479","79,308",
,,,,,ADT Su,"60,933","69,118","73,293","73,006","78,434",,,,,,"71,757","66,642",
299,"WOLLERAU, BLATTTUNNEL (AB)",,SZ,A 3,ADT,"54,072","57,683","57,412","55,706","55,619","58,296","56,189","58,585","58,582","56,741","54,142","53,711","56,381"
,,,,,AWT,"54,730","57,773","58,328","58,178","57,301","59,871","57,129","60,316","58,842","57,912","56,208","55,121","57,617"
,,,,,ADT Tu-Th,"53,745","56,613","57,643","58,172","57,423","58,992","56,633","59,338","57,949","57,322","56,084","54,096","56,979"
,,,,,ADT Sa,"58,242","63,646","59,050","54,925","54,773","57,966","57,070","56,813","60,497","56,396","54,660","54,937","57,331"
,,,,,ADT Su,"47,844","51,267","51,929","47,989","49,401","53,266","49,899","54,289","55,241","50,351","45,360","47,960","50,345"
300,ETOY (AR),,VD,A 1,ADT,"74,695","81,059","81,316","84,445","84,144","86,637","87,278","84,410","84,993","84,932","81,360","79,936","82,934"
,,,,,AWT,"77,887","83,663","83,633","87,540","87,101","90,028","89,710","86,357","86,029","87,301","83,864","82,602","85,480"
,,,,,ADT Tu-Th,"76,718","82,810","83,559","86,784","87,920","89,969","88,629","85,210","87,306","86,535","82,426","80,615","84,928"
,,,,,ADT Sa,"77,268","83,793","83,995","86,476","83,881","85,252","88,292","85,192","87,279","84,340","84,257","84,260","84,509"
,,,,,ADT Su,"58,590","65,304","68,908","72,775","71,987","76,257","72,279","77,269","77,007","71,899","68,446","67,725","70,829"
301,BIRMENSDORF N (AB) - ZH1103,,ZH,A 4,ADT,"82,629","87,293","87,361","86,312","87,331","88,443","87,148","88,565","89,114","88,350","86,213","82,884","86,792"
,,,,,AWT,"85,896","89,516","89,858","90,083","89,347","90,218","89,476","91,606","89,884","90,343","88,734","85,909","89,224"
,,,,,ADT Tu-Th,"85,446","89,150","89,328","90,116","89,250","89,560","89,155","90,795","88,779","89,819","88,365","85,123","88,736"
,,,,,ADT Sa,"83,292","89,388","88,250","85,563","88,517","91,490","86,049","86,980","92,043","88,654","88,923","84,332","87,819"
,,,,,ADT Su,"67,725","74,084","75,985","74,238","77,677","80,496","74,860","79,747","81,955","76,581","73,417","71,331","75,647"
302,"ARBON, A1/ZUBRINGER SG",,SG,A 23,ADT,"28,313","30,182","30,805","30,555","32,045","33,430","30,096","31,874","31,909","30,566","30,709","29,031","30,788"
,,,,,AWT,"30,338","32,103","33,021","33,346","34,377","35,975","32,010","34,440","33,225","32,348","33,196","31,584","32,958"
,,,,,ADT Tu-Th,"29,893","31,900","32,832","33,180","34,300","35,795","31,998","34,095","32,965","32,179","33,078","30,941","32,717"
,,,,,ADT Sa,"27,625","29,197","29,651","29,307","30,407","32,354","27,611","29,576","31,563","28,650","30,182","28,326","29,570"
,,,,,ADT Su,"19,955","21,562","22,647","22,082","23,885","25,665","21,576","25,238","25,015","22,232","21,287","20,565","22,695"
303,THURAU (AB),,SG,A 1,ADT,"56,105","60,985","60,198","60,358","59,459","60,223",,,,"63,446","61,413","58,565",
,,,,,AWT,"59,279","62,693","63,352","64,325","62,721","63,214",,,,"65,203","64,588","61,262",
,,,,,ADT Tu-Th,"58,744","63,052","62,934","63,939","63,010","62,007",,,,"64,575","64,385","60,306",
,,,,,ADT Sa,"53,423","61,910","57,361","57,750","56,072","58,741",,,,"61,335","58,516","58,188",
,,,,,ADT Su,"44,285","51,517","49,787","48,873","49,149","51,243",,,,"55,458","51,609","49,375",
304,EICH (AB),,LU,A 2,ADT,"52,853","54,903","56,687","61,607","63,370","64,795","67,613","70,365","66,361","63,115","58,391","55,793","61,358"
,,,,,AWT,"55,704","57,642","60,086","64,433","65,629","66,229","68,569","71,360","67,045","64,767","62,185","58,687","63,544"
,,,,,ADT Tu-Th,"55,344","57,452","60,041","63,977","65,519","65,125","67,495","70,663","65,979","64,224","62,253","58,261","63,081"
,,,,,ADT Sa,"51,168","52,988","54,147","62,377","63,020","66,377","69,988","72,431","68,947","64,317","56,536","55,843","61,513"
,,,,,ADT Su,"41,653","43,121","44,952","51,675","54,234","58,959","59,735","65,331","60,015","52,416","45,071","45,633","52,005"
305,BRUEGG (AB),,BE,A 6,ADT,"27,804","30,047","30,720","30,245","30,761","31,317","29,357","30,601","31,212","30,699","30,984","28,638","30,192"
,,,,,AWT,"30,665","32,822","33,835","33,947","34,327","34,788","32,074","34,172","33,499","33,892","34,417","31,866","33,329"
,,,,,ADT Tu-Th,"30,387","32,682","33,873","33,837","34,592","34,666","32,136","34,092","33,473","33,773","34,330","31,493","33,240"
,,,,,ADT Sa,"25,206","27,227","28,214","27,298","27,864","28,237","25,009","27,000","28,214","27,545","28,844","26,655","27,330"
,,,,,ADT Su,"17,292","18,994","20,144","19,869","18,681","21,799","18,088","21,698","21,634","15,493","19,391","18,662","19,442"
307,OBERFAHR (AB),,SG,A 13,ADT,"38,580","41,518","41,052","40,169","40,309","41,801","39,149",,"42,296",,,,
,,,,,AWT,"40,324","42,601","43,491","43,555","43,199","44,540","40,997",,"43,589",,,,
,,,,,ADT Tu-Th,"39,713","42,022","43,058","43,423","43,403","43,957","40,601",,"42,790",,,,
,,,,,ADT Sa,"38,795","43,447","39,028","35,844","36,124","38,384","35,982",,"40,997",,,,
,,,,,ADT Su,"30,737","34,177","32,831","31,767","32,352","34,952","31,693",,"36,483",,,,
308,LACHEN (AB),,SZ,A 3,ADT,"56,118","60,757","59,431","58,590","57,964","60,893","58,283","61,401","60,274","59,530","56,469","57,045","58,879"
,,,,,AWT,"57,618","60,700","60,951","61,775","60,458","63,125","59,524","63,763","60,603","61,255","59,753","59,111","60,680"
,,,,,ADT Tu-Th,"56,337","58,821","59,600","61,420","60,407","61,882","58,705","62,888","59,656","60,174","59,463","57,953","59,746"
,,,,,ADT Sa,"57,806","67,353","60,319","57,793","56,112","59,716","59,002","58,663","61,771","58,534","55,049","57,974","59,048"
,,,,,ADT Su,"48,166","54,445","52,157","48,505","49,345","54,240","50,427","55,809","56,964","50,604","44,757","49,193","51,139"
309,SPIEZ (AB),,BE,A 6,ADT,"32,377","35,148","33,478","31,610","33,412","36,123","35,863","39,929","34,429","33,814","30,650","32,500","34,112"
,,,,,AWT,"32,289","34,642","33,912","32,683","34,092","36,286","36,436","40,192","33,843","34,371","32,085","32,966","34,473"
,,,,,ADT Tu-Th,"31,333","33,485","33,581","32,306","33,646","35,984","36,409","39,404","33,174","34,035","31,900","32,260","33,954"
,,,,,ADT Sa,"34,265","40,242","34,874","33,182","33,516","36,385","37,399","38,791","37,545","34,479","31,164","33,754","35,398"
,,,,,ADT Su,"31,254","32,586","30,261","26,982","30,449","35,403","31,035","40,003","34,534","29,944","24,394","30,030","31,478"
310,SENNWALD (AB),,SG,A 13,ADT,"39,706","42,275","41,861","43,614","43,512","47,950","45,392","48,646","48,183","44,773","40,059","39,105","43,755"
,,,,,AWT,"41,758","43,788","44,420","46,464","45,834","49,194","46,649","49,949","48,680","46,295","43,673","41,411","45,667"
,,,,,ADT Tu-Th,"41,245","43,085","43,733","46,266","45,726","47,946","45,789","48,851","47,537","45,377","43,383","40,251","44,935"
,,,,,ADT Sa,"38,013","41,381","38,602","39,770","39,747","47,444","43,532","46,878","47,954","41,813","34,927","37,514","41,355"
,,,,,ADT Su,"32,033","35,602","34,373","36,679","37,523","44,144","40,020","45,777","45,677","38,982","30,737","32,096","37,777"
311,STEINHAUSEN W (AB),,ZG,A 14,ADT,"64,379","66,571","69,977","68,198","69,595","69,737","65,618","65,063","72,079","70,816","70,338","62,827","67,921"
,,,,,AWT,"72,124","73,810","78,225","78,144","77,613","78,862","72,090","74,064","78,228","77,428","78,904","70,959","75,830"
,,,,,ADT Tu-Th,"72,622","74,425","78,970","78,373","78,075","77,615","72,906","76,075","78,888","77,741","79,488","71,796","76,350"
,,,,,ADT Sa,"54,424","56,699","60,536","58,103","59,765","59,325","53,576","54,611","62,344","58,749","61,760","55,342","58,031"
,,,,,ADT Su,"38,264","40,249","44,779","41,777","45,754","46,262","40,447","43,772","47,999","44,865","44,654","39,355","43,141"
313,ARDON (AR),,VS,A 9,ADT,"46,886","52,969","49,728","49,892","50,020","49,082","51,954","51,706","53,059","51,697","48,728","49,608","50,426"
,,,,,AWT,"49,641","54,743","51,560","52,850","53,702","52,648","55,061","54,452","55,248","54,473","53,056","52,467","53,337"
,,,,,ADT Tu-Th,"48,129","53,381","48,715","51,599","53,493","51,798","54,361","54,081","54,240","53,917","52,616","52,171","52,407"
,,,,,ADT Sa,"45,674","55,872","51,569","48,453","47,103","45,508","47,846","51,119","51,581","49,270","46,639","50,573","49,255"
,,,,,ADT Su,"35,736","41,195","40,189","40,993","37,471","39,575","38,196","43,046","42,496","38,158","33,504","38,960","39,169"
314,REICHENBURG (AB),,SG,A 3,ADT,"52,903","58,172","54,418","51,522","51,609","55,824","54,117","58,224","55,687","53,966","48,765","52,503","53,953"
,,,,,AWT,"51,580","55,440","52,853","51,762","51,727","54,799","52,936","57,613","53,705","53,147","49,422","51,772","53,045"
,,,,,ADT Tu-Th,"48,807","52,247","50,816","51,131","50,987","53,113","51,253","55,579","51,273","51,310","48,254","49,782","51,189"
,,,,,ADT Sa,"59,177","68,349","58,642","53,441","52,649","58,231","59,197","58,390","60,898","57,782","49,517","55,490","57,428"
,,,,,ADT Su,"53,703","61,657","56,763","49,444","50,076","57,637","55,831","60,124","61,381","54,858","45,381","53,073","54,770"
318,MELS N (AB),,SG,A 3,ADT,"42,015","46,378","43,202","40,682","40,068","44,520","43,901","46,587","43,952","42,536","37,594","42,317","42,796"
,,,,,AWT,"40,759","42,991","41,007","40,062","39,564","42,919","42,375","45,241","41,690","41,205","37,425","40,915","41,345"
,,,,,ADT Tu-Th,"37,956","39,827","38,872","39,407","38,746","41,310","40,659","43,114","39,390","39,328","36,192","38,994","39,489"
,,,,,ADT Sa,"47,307","58,669","47,897","42,642","40,951","46,749","49,008","47,853","49,322","46,603","38,414","46,324","46,578"
,,,,,ADT Su,"43,308","51,021","47,724","41,443","41,300","48,370","47,569","50,019","51,021","46,125","37,453","44,551","45,636"
320,CHUR NORD (AB),,GR,A 13,ADT,"47,779","52,447","50,382","49,416","49,266","54,653","53,531","57,278","54,262","51,246","44,531","47,765","51,038"
,,,,,AWT,"49,177","52,210","51,606","51,779","51,463","55,994","53,928","57,981","54,353","52,044","47,642","49,173","52,269"
,,,,,ADT Tu-Th,"46,918","49,874","49,946","51,111","51,002","54,192","52,015","55,666","51,991","50,339","46,804","47,441","50,603"
,,,,,ADT Sa,"48,358","58,292","50,693","47,856","47,145","54,052","55,594","58,526","56,816","52,037","42,013","48,773","51,519"
,,,,,ADT Su,"41,161","47,791","44,931","42,579","42,160","50,586","49,181","53,897","51,211","45,865","34,602","42,167","45,431"
321,"BASEL, ANSCHLUSS WIESE,  A3 (AB)",,BS,A 3,ADT,,,"62,140","60,079",,,"58,695",,"56,684","57,404","55,599","55,888",
,,,,,AWT,,,"66,661","63,430",,,"61,035",,"58,662","59,413","58,760","58,474",
,,,,,ADT Tu-Th,,,"66,365","62,946",,,"60,885",,"57,775","58,368","58,052","57,537",
,,,,,ADT Sa,,,"57,371","58,069",,,"53,987",,"54,231","54,723","53,364","54,547",
,,,,,ADT Su,,,"47,920","50,253",,,"49,943",,"48,259","48,533","45,193","47,731",
322,ZILLIS (AS),,GR,A 13,ADT,"6,784","6,928","7,746","11,829","12,240","15,595","16,186","17,681","14,718","11,981","7,150","7,456","11,384"
,,,,,AWT,"6,485","6,798","7,468","10,454","10,911","13,593","14,572","15,223","13,217","10,705","7,073","7,167","10,332"
,,,,,ADT Tu-Th,"6,051","6,349","7,032","10,128","10,362","12,262","13,144","13,788","11,748","9,607","6,707","6,762","9,550"
,,,,,ADT Sa,"7,604","6,933","7,689","14,163","14,109","20,501","21,439","22,663","18,511","15,049","7,081","8,492","13,624"
,,,,,ADT Su,"7,443","7,575","8,971","14,855","15,954","18,999","20,214","21,725","19,180","16,249","7,530","7,775","13,875"
323,MURTEN (AB),,FR,A 1,ADT,"18,005","19,181","19,686","22,434","21,979","24,483","24,585","25,285","23,365","21,696","19,188","19,340","21,614"
,,,,,AWT,"17,983","18,992","19,610","21,839","21,591","23,235","24,080","24,421","22,474","21,459","19,483","19,484","21,230"
,,,,,ADT Tu-Th,"17,516","18,334","19,221","21,580","21,167","22,225","23,327","23,522","21,675","20,760","19,200","19,009","20,671"
,,,,,ADT Sa,"20,882","21,404","20,952","24,226","22,574","27,267","27,261","26,715","26,345","22,900","19,308","20,691","23,301"
,,,,,ADT Su,"15,804","17,906","18,736","23,221","23,014","26,790","24,811","26,973","25,286","21,855","17,886","17,936","21,769"
324,CHATEL-ST-DENIS N (AR),,FR,A 12,ADT,"35,112","38,697","38,044","36,875","37,178","38,345","40,414","39,991","39,310","38,400","35,799","36,784","37,909"
,,,,,AWT,"35,462","38,297","38,325","38,126","38,052","39,264","41,054","40,171","39,327","39,292","36,857","37,266","38,475"
,,,,,ADT Tu-Th,"34,776","37,322","38,037","37,880","38,044","38,779","40,525","39,495","38,870","38,695","36,445","36,738","38,003"
,,,,,ADT Sa,"37,295","43,740","40,381","36,709","35,966","36,921","40,712","39,640","40,497","37,195","36,485","39,105","38,674"
,,,,,ADT Su,"31,823","35,654","34,526","32,818","34,717","36,230","36,438","39,682","38,030","34,481","30,881","33,552","34,864"
325,DUEDINGEN S (AB),,FR,A 12,ADT,"28,044","31,116","30,525","30,099","30,476","31,892","34,006","33,778","32,177","31,774","29,828","29,981","31,143"
,,,,,AWT,"28,740","30,703","30,734","31,094","31,502","32,550","34,788","34,484","32,468","32,451","31,086","30,506","31,775"
,,,,,ADT Tu-Th,"28,169","30,157","30,408","30,890","31,429","31,942","34,215","34,146","31,850","31,876","30,970","30,020","31,371"
,,,,,ADT Sa,"30,424","36,980","33,382","30,096","29,547","31,907","33,875","33,342","33,119","31,313","30,282","32,952","32,220"
,,,,,ADT Su,"23,082","27,320","26,790","26,783","27,097","29,688","29,643","31,785","29,633","28,341","24,339","26,162","27,546"
326,FLAMATT E (AB),,FR,A 12,ADT,"35,665","38,660","39,330","38,484","38,670","41,547","42,587","43,130","40,731","41,011","38,953","38,747","39,801"
,,,,,AWT,"37,289","39,376","40,914","40,782","40,753","43,654","44,213","45,343","41,971","42,689","41,264","40,310","41,551"
,,,,,ADT Tu-Th,"36,748","38,544","40,853","40,710","40,814","43,271","43,872","45,003","41,681","42,197","41,234","39,402","41,216"
,,,,,ADT Sa,"36,591","42,429","40,130","36,750","36,113","39,739","40,890","40,700","39,678","39,012","38,433","39,975","39,176"
,,,,,ADT Su,"27,783","31,316","31,876","31,981","32,478","35,730","34,934","37,780","34,965","33,367","30,232","32,457","32,964"
328,ESTAVAYER-LE-LAC E (AR),,FR,A 1,ADT,"25,405","27,202","27,835","30,217","30,390","31,347","32,807","32,228","31,695","29,817","27,386","26,860","29,443"
,,,,,AWT,"26,397","27,987","28,782","30,921","31,097","30,797","33,469","32,513","31,873","30,492","28,739","28,081","30,116"
,,,,,ADT Tu-Th,"25,932","27,466","28,427","30,597","30,911","29,466","32,827","31,742","31,614","29,907","28,115","27,479","29,599"
,,,,,ADT Sa,"26,897","27,843","27,965","30,479","29,671","34,127","32,913","32,266","32,762","29,391","26,646","26,948","29,773"
,,,,,ADT Su,"19,848","22,636","23,728","27,696","28,137","31,330","28,896","31,244","29,647","26,358","22,711","22,528","26,317"
329,"MURTEN, LOEWENBERG (AB)",,FR,A 1,ADT,"23,735","25,297","26,180","29,428","29,539","32,365","32,304","33,218",,,"25,518","25,318",
,,,,,AWT,"24,186","25,482","26,464","29,203","29,325","31,258","32,124","32,572",,,"26,255","25,929",
,,,,,ADT Tu-Th,"23,749","24,941","26,238","28,931","28,887","30,238","31,449","31,498",,,"26,051","25,317",
,,,,,ADT Sa,"26,344","27,467","27,580","31,637","30,206","34,993","34,677","34,037",,,"26,014","26,721",
,,,,,ADT Su,"19,664","22,205","23,584","28,702","29,772","34,301","30,969","34,689",,,"22,073","22,247",
331,CHATEL ST. DENIS (AR),,VD,A 12,ADT,"37,654","40,775","40,267","39,313","39,439",,,,,,,,
,,,,,AWT,"37,977","40,772","40,809","40,751","40,383",,,,,,,,
,,,,,ADT Tu-Th,"37,809","40,313","40,810","40,530","40,514",,,,,,,,
,,,,,ADT Sa,"39,864","43,707","41,878","39,439","38,395",,,,,,,,
,,,,,ADT Su,"34,469","37,861","36,379","34,436","36,518",,,,,,,,
333,BAVOIS (AR),,VD,A 1,ADT,"57,737","62,732",,,,,,,,,,,
,,,,,AWT,"61,128","65,515",,,,,,,,,,,
,,,,,ADT Tu-Th,"60,220","64,682",,,,,,,,,,,
,,,,,ADT Sa,"56,395","61,694",,,,,,,,,,,
,,,,,ADT Su,"43,890","49,854",,,,,,,,,,,
335,WIGGERTAL (AB) - AG1411,,AG,A 1,ADT,"70,532","76,100","78,667","79,446","80,655","80,549","76,753","79,564","81,816","80,479","79,292","74,340","78,177"
,,,,,AWT,"74,729","79,233","82,180","83,902","83,529","84,208","79,782","83,526","83,409","82,989","82,731","78,137","81,484"
,,,,,ADT Tu-Th,"74,642","79,187","82,502","83,883","83,714","83,803","79,944","83,018","83,259","82,712","82,875","77,525","81,384"
,,,,,ADT Sa,"69,911","76,840","79,419","79,102","81,405","80,906","74,513","77,680","84,482","80,209","81,970","74,549","78,547"
,,,,,ADT Su,"52,564","59,699","63,163","64,825","67,838","68,116","61,577","67,926","70,383","66,317","62,857","60,912","63,911"
341,NEUENHOF (AB) - AG1402,,AG,A 1,ADT,"121,325","129,634","132,232","131,218","131,604","135,066",,,,"132,283","131,685","126,953",
,,,,,AWT,"125,338","131,814","134,307","134,697","132,924","137,478",,,,"133,655","132,991","129,857",
,,,,,ADT Tu-Th,"124,729","130,794","133,488","134,677","131,621","136,325",,,,"134,043","132,572","128,280",
,,,,,ADT Sa,"127,998","138,232","140,651","137,241","138,228","143,141",,,,"137,929","142,260","136,162",
,,,,,ADT Su,"98,328","110,136","115,096","115,604","119,433","121,644",,,,"118,745","115,882","110,651",
345,RHEINFELDEN (AB) - AG1424,,AG,A 3,ADT,"69,362","74,076","73,520","75,381","75,565","74,247","72,249","73,888","75,611","76,655","75,138","70,682","73,849"
,,,,,AWT,"75,477","79,496","79,237","82,331","81,018","81,125","76,945","79,967","79,079","80,606","80,829","76,399","79,323"
,,,,,ADT Tu-Th,"75,563","79,552","79,905","82,357","81,613","81,040","77,397","80,196","78,905","80,409","81,306","75,514","79,434"
,,,,,ADT Sa,"61,898","69,148","69,634","70,817","70,173","68,907","65,537","69,200","73,569","73,488","72,736","69,422","69,613"
,,,,,ADT Su,"48,424","51,904","53,397","55,256","58,053","54,880","51,965","57,529","58,577","57,104","54,777","51,513","54,442"
349,RHEINFELDEN (AB) - AG1420,,AG,A 3,ADT,"47,154","50,849","51,315","53,780","53,774","53,303","52,237","53,164","53,982","54,971","52,928","49,777","52,268"
,,,,,AWT,"50,138","53,382","53,890","56,834","56,038","56,270","54,309","55,800","55,368","56,614","55,336","51,954","54,642"
,,,,,ADT Tu-Th,"50,139","53,234","54,149","57,029","56,521","56,176","54,462","55,654","54,775","56,522","55,400","51,339","54,620"
,,,,,ADT Sa,"43,651","47,630","48,587","50,191","49,953","48,714","47,874","49,402","51,707","52,231","50,696","48,823","49,163"
,,,,,ADT Su,"36,828","41,398","43,228","45,995","48,084","46,476","44,688","47,515","48,636","48,264","45,529","42,794","44,949"
353,WORB W,,BE,H 10,ADT,,,,,,,,,"13,019","13,887","13,952","12,738",
,,,,,AWT,,,,,,,,,"14,083","15,081","15,471","14,270",
,,,,,ADT Tu-Th,,,,,,,,,"14,154","15,107","15,543","14,182",
,,,,,ADT Sa,,,,,,,,,"11,507","11,965","12,871","11,458",
,,,,,ADT Su,,,,,,,,,"8,680","8,945","8,954","8,229",
354,SAANENMOESER,,BE,H 11,ADT,,,,,,,,,"5,035","4,615","4,255","5,592",
,,,,,AWT,,,,,,,,,"5,113","4,922","4,737","5,687",
,,,,,ADT Tu-Th,,,,,,,,,"5,000","4,997","4,733","5,621",
,,,,,ADT Sa,,,,,,,,,"4,966","4,069","3,795","5,574",
,,,,,ADT Su,,,,,,,,,"4,670","3,398","2,790","5,271",
357,SCHWARZENBURG E,,BE,H 183,ADT,"3,654","3,940","4,160","4,348","4,508","4,524","4,243","4,544","4,406","4,436","4,028","3,799","4,217"
,,,,,AWT,"4,021","4,304","4,592","4,735","4,833","4,882","4,526","4,926","4,619","4,782","4,418","4,234","4,570"
,,,,,ADT Tu-Th,"4,048","4,321","4,664","4,735","4,810","4,922","4,597","4,903","4,641","4,808","4,438","4,202","4,590"
,,,,,ADT Sa,"3,220","3,504","3,749","4,397","4,329","4,323","4,081","4,143","4,259","3,959","3,919","3,530","3,958"
,,,,,ADT Su,"2,386","2,557","2,752","3,023","3,319","3,463","2,779","3,607","3,383","2,926","2,580","2,456","2,951"
359,LA CIBOURG,,BE,H 18,ADT,,,,,,,,,,"10,658","10,208","9,383",
,,,,,AWT,,,,,,,,,,"11,484","11,306","10,290",
,,,,,ADT Tu-Th,,,,,,,,,,"11,502","11,365","10,235",
,,,,,ADT Sa,,,,,,,,,,"9,265","9,406","8,618",
,,,,,ADT Su,,,,,,,,,,"7,296","6,618","6,720",
361,KIRCHBERG S,,BE,H 23,ADT,"16,930","17,997","18,122","18,074","18,797","18,320","17,596","17,355","18,044","18,365","18,772","17,087","17,951"
,,,,,AWT,"18,962","19,929","20,248","20,456","20,943","20,709","19,372","19,784","19,629","20,203","20,902","19,358","20,025"
,,,,,ADT Tu-Th,"18,878","20,008","20,270","20,412","21,101","20,924","19,529","20,012","19,768","20,272","20,954","19,109","20,082"
,,,,,ADT Sa,"14,329","15,334","15,625","15,967","16,650","16,326","14,239","14,602","15,711","15,363","17,268","15,137","15,584"
,,,,,ADT Su,"10,074","11,000","11,690","11,536","11,931","11,687","10,741","11,556","11,656","10,804","11,754","10,437","11,256"
363,"AARWANGEN, SCHUERHOF",,BE,H 244,ADT,"10,891","12,038","12,388","12,202","12,548","12,245","11,319","11,978","12,257","12,308","12,264","10,895","11,940"
,,,,,AWT,"12,186","13,328","13,880","13,865","13,890","13,796","12,437","13,600","13,277","13,443","13,834","12,333","13,305"
,,,,,ADT Tu-Th,"12,251","13,428","14,089","13,904","14,193","13,961","12,552","13,615","13,384","13,502","14,029","12,256","13,405"
,,,,,ADT Sa,"9,245","10,411","10,412","10,555","10,843","10,381","9,268","9,987","10,435","10,335","10,731","9,553","10,204"
,,,,,ADT Su,"6,508","7,219","8,101","7,760","8,618","8,315","6,944","8,232","8,468","7,755","7,516","6,758","7,694"
364,"SUMISWALD, GAMMENTHAL",,BE,H 23,ADT,"5,048","5,357","5,745","5,825","6,050","5,930","5,461","5,791","5,762","5,793","5,881","5,254","5,659"
,,,,,AWT,"5,469","5,738","6,178","6,286","6,408","6,403","5,747","6,349","6,094","6,109","6,379","5,725","6,066"
,,,,,ADT Tu-Th,"5,447","5,791","6,238","6,256","6,431","6,459","5,736","6,301","6,085","6,083","6,453","5,698","6,071"
,,,,,ADT Sa,"4,488","4,832","5,223","5,670","5,739","5,718","5,048","4,963","5,607","5,452","5,566","4,938","5,278"
,,,,,ADT Su,"3,644","3,976","4,448","4,391","4,856","4,498","4,229","4,623","4,096","4,318","4,205","3,814","4,270"
368,"BERN, ZUBRINGER NEUFELD (TUNNEL)",,BE,A 1,ADT,"19,640","20,705","21,792","20,876","20,983","20,918","20,176","21,201","21,239","22,027","22,939","21,275","21,148"
,,,,,AWT,"21,685","22,531","23,850","23,201","22,687","23,192","21,694","23,572","22,759","23,535","24,922","23,293","23,055"
,,,,,ADT Tu-Th,"21,720","22,695","24,150","23,289","22,973","23,287","21,904","23,763","22,954","23,654","25,064","23,050","23,178"
,,,,,ADT Sa,"17,582","18,906","20,491","19,238","19,697","19,102","17,867","19,032","19,366","20,351","22,293","20,682","19,614"
,,,,,ADT Su,"12,290","13,375","14,447","14,216","15,111","14,551","13,761","15,107","14,753","15,031","15,656","14,609","14,435"
370,CHEXBRES E (AR),,VD,A 9,ADT,"63,717","69,975","67,107","63,462","65,640","66,301","68,763","67,737","69,128","67,778","65,867","66,402","66,804"
,,,,,AWT,"65,384","71,223","68,436","66,179","67,833","69,109","70,885","69,922","69,751","69,836","67,644","68,108","68,708"
,,,,,ADT Tu-Th,"64,372","70,264","68,498","65,827","68,711","69,138","70,707","68,923","70,378","68,523","67,443","67,332","68,340"
,,,,,ADT Sa,"62,047","70,072","67,845","63,036","63,408","64,154","66,139","64,365","70,656","66,837","68,211","67,784","66,193"
,,,,,ADT Su,"57,717","63,634","60,790","54,690","58,664","58,374","59,183","63,261","64,172","56,883","56,416","59,510","59,307"
373,"KLOSTERS, MEZZASELVA - GR241",,GR,A 28,ADT,"12,341","12,795","10,952","9,276","8,593","11,128","11,092","11,892","11,151","10,762","8,856","11,865","10,885"
,,,,,AWT,"11,906","11,624","10,221","9,336","8,835","10,916","10,899","11,733","10,659","10,499","9,020","11,257","10,584"
,,,,,ADT Tu-Th,"11,095","10,559","9,634","9,263","8,727","10,469","10,574","11,327","10,131","10,146","8,681","10,876","10,133"
,,,,,ADT Sa,"14,329","16,659","12,343","10,106","8,023","11,283","12,003","11,769","11,938","11,923","8,763","13,536","11,762"
,,,,,ADT Su,"12,667","14,784","12,629","8,522","8,145","11,730","11,292","12,524","13,074","11,115","8,291","12,879","11,394"
381,BIRRHARD E (AB),,AG,A 1,ADT,,"126,415",,,,,,"128,121","131,135","129,758",,,
,,,,,AWT,,"129,013",,,,,,"132,454","132,099","132,234",,,
,,,,,ADT Tu-Th,,"128,498",,,,,,"130,995","131,441","131,603",,,
,,,,,ADT Sa,,"131,708",,,,,,"128,558","137,772","131,210",,,
,,,,,ADT Su,,"108,134",,,,,,"113,316","119,197","114,071",,,
